land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room_size,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket_km,crime_rate_index,room_size,property_value
201 sqm,177,3,1,Small,1,1,No,3.3,1,10,0,6.8,0.9,0,165432
196 sqm,182,4,3,Large,1,0,Yes,1.2,1,11,0,4.1,1.42,1,187043
198 sqm,182,4,4,Large,1,0,Yes,5.9,0,20,0,2.1,4.12,1,148658
178 sqm,166,2,3,Small,1,0,No,5.9,0,5,0,0.7,4.36,0,123785
183 sqm,165,3,1,Large,1,0,No,3.8,1,8,0,0.7,0.42,0,156470
399 sqm,377,6,5,Large,1,1,Yes,4.5,1,7,0,6.4,5.53,0,306596
337 sqm,334,5,3,Large,0,1,Yes,0.2,1,14,0,2.1,0.89,0,283236
110 sqm,94,1,2,Small,0,0,No,5.7,1,1,0,4.5,3.18,0,76026
170 sqm,159,3,4,Large,0,1,No,3.4,0,22,0,3.5,4.84,1,121398
128 sqm,116,1,2,Small,0,1,No,0.8,0,1,0,5.4,4.98,1,105593
220 sqm,189,3,1,Small,0,0,No,3.9,0,1,0,5.7,1.94,1,149798
350 sqm,330,5,3,Large,1,1,Yes,5.3,1,5,0,4.4,2.77,0,294321
296 sqm,258,4,2,Large,1,0,Yes,6.5,1,2,0,3.6,4.66,0,240550
209 sqm,184,3,3,Large,1,0,No,6.2,1,3,0,1.6,3.6,0,163884
207 sqm,187,3,3,Large,1,0,No,1.6,0,11,0,6.4,1.7,1,156310
177 sqm,154,3,3,Large,1,0,Yes,1.6,1,10,0,3.1,5.63,1,160441
291 sqm,283,4,3,Large,1,0,Yes,5.9,0,8,0,3.1,4.96,0,215767
242 sqm,211,5,2,Large,1,1,Yes,5.3,1,14,0,1.7,1.1,1,223955
132 sqm,129,1,2,Small,0,0,No,1.4,0,5,0,5.4,0.85,1,99461
277 sqm,247,4,5,Large,1,1,Yes,1.8,0,18,0,4.2,1.21,0,220432
172 sqm,164,3,4,Large,1,0,No,2.6,1,12,0,3.6,2.04,0,148221
203 sqm,192,4,4,Small,1,1,Yes,6.4,1,12,0,1.9,3.1,1,181712
181 sqm,156,3,1,Large,1,0,Yes,1.9,0,9,0,6.7,1.33,1,149638
227 sqm,207,4,3,Small,1,1,Yes,5.8,0,6,0,3.9,4.43,1,177378
321 sqm,306,5,2,Large,1,1,Yes,2.2,1,20,0,2.8,2.7,1,264197
484 sqm,462,7,5,Large,1,1,Yes,6.1,1,21,0,3.8,2.26,2,387376
